mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count)
131222,-4.79,-7.05,3.90,359.84,1099,0,1,3
131337,-7.11,-8.25,3.00,359.84,1099,0,1,3
131451,-0.51,-9.15,3.90,359.84,1099,0,1,3
131566,-3.34,-9.15,3.15,359.84,1098,0,1,3
131680,-4.72,-9.60,2.10,359.84,1099,0,1,3
131795,-3.14,-9.75,3.00,359.84,1099,0,1,3
131910,-5.23,-8.70,5.25,359.84,1099,0,2,3
132024,-8.26,-9.90,2.10,359.84,1099,0,1,3
132139,-2.08,-10.50,3.75,359.84,1099,0,1,3
132254,4.43,-9.30,2.70,359.84,1099,0,2,3
132368,1.05,-8.85,2.85,359.84,1099,0,2,3
132481,0.79,-9.00,3.75,359.84,1099,0,1,3
132595,-2.02,-9.00,3.45,359.84,1099,0,1,3
132710,-2.85,-10.05,2.70,359.84,1099,0,1,3
132825,2.17,-9.15,3.15,359.84,1099,0,1,3
132939,-1.94,-9.60,4.65,359.84,1099,0,2,3
133053,-1.26,-11.40,2.55,359.84,1099,0,2,3
133169,0.02,-10.20,2.85,359.84,1099,0,2,3
133284,-0.62,-9.75,3.00,359.84,1099,0,1,3
133398,2.70,-11.85,4.50,359.84,1099,0,1,3
133513,-2.38,-11.40,3.90,359.84,1099,0,1,3
133628,-2.71,-12.15,3.45,359.84,1099,0,1,3
133744,2.04,-12.00,5.10,359.84,1099,0,1,3
133859,-2.18,-10.20,3.15,359.84,1099,0,1,3
133974,-0.66,-11.40,3.90,359.84,1099,0,1,3
