mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count)
99137,-1.07,-11.10,4.20,359.90,1099,0,1,2
99237,0.85,-10.20,2.10,359.90,1098,0,1,2
99346,0.99,-9.75,3.45,359.90,1098,0,1,2
99459,0.93,-12.45,3.90,359.90,1098,0,1,2
99574,-1.89,-10.80,4.50,359.90,1098,0,1,2
99689,-0.10,-11.55,4.50,359.90,1098,0,1,2
99805,-1.63,-11.10,3.75,359.90,1097,0,1,2
99921,-0.79,-12.45,3.60,359.90,1098,0,1,2
100036,-3.68,-11.55,3.75,359.90,1098,0,1,2
100152,-2.38,-11.40,2.55,359.90,1098,0,1,2
100267,-1.50,-11.85,3.45,359.90,1098,0,1,2
100383,-1.96,-13.50,3.15,359.90,1098,0,1,2
100499,-2.25,-11.40,3.60,359.90,1098,0,2,2
100614,1.56,-12.15,3.75,359.90,1098,0,1,2
100729,-1.82,-12.15,4.50,359.90,1098,0,1,2
100845,-0.57,-10.95,3.15,359.90,1098,0,1,2
100960,0.85,-11.10,3.00,359.90,1097,0,1,2
101075,-0.85,-11.10,2.25,359.90,1098,0,2,2
101190,-3.69,-10.95,3.60,359.90,1098,0,2,2
101306,1.40,-10.20,2.85,359.90,1097,0,2,2
101421,11.84,-11.55,3.00,359.90,1098,0,2,2
101536,60.00,-10.50,3.00,359.90,1098,0,1,2
101652,143.46,-7.65,3.75,359.90,1098,0,1,2
101767,210.77,-1.95,1.20,0.00,1098,2,2,2
101881,208.50,2.10,-2.10,0.68,1097,15,2,2
101996,208.50,3.15,-6.15,0.99,1097,20,1,1
102110,208.04,3.90,-12.00,0.68,1098,14,1,1
102226,206.91,4.35,-19.80,0.26,1098,6,8,1
102340,207.93,-0.30,-23.70,0.05,1098,2,21,1
102457,207.95,-4.95,-26.25,0.11,1097,3,22,1
102574,208.11,-10.50,-27.15,0.11,1098,3,12,1
102691,205.02,-16.20,-26.40,0.05,1097,2,4,1
102808,204.77,-20.10,-21.00,359.27,1097,1,3,15
102928,206.53,-24.15,-13.50,359.27,1098,1,3,15
103048,206.63,-24.00,-8.10,359.58,1097,1,3,9
103165,205.73,-18.60,-1.50,359.90,1098,1,2,3
103283,205.89,-13.50,3.90,359.90,1097,0,2,2
103400,204.66,-9.00,2.70,359.90,1098,0,1,2
103515,205.20,-2.85,0.60,359.90,1097,0,2,2
103631,206.62,1.20,-0.90,0.52,1097,12,2,2
103746,205.56,3.30,-7.35,0.99,1098,20,1,1
103860,202.38,4.05,-14.70,0.73,1098,15,1,1
103976,203.87,1.65,-18.15,0.31,1098,7,5,1
104090,205.84,-0.45,-22.35,0.05,1098,2,19,1
104207,206.52,-4.95,-25.95,0.11,1098,3,22,1
