mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
1,1.33,-16.35,-6.45,0.00,0,0,0,0,0.00,0.00
57,0.05,-16.50,-6.75,0.00,0,0,0,0,0.00,0.00
107,-2.27,-15.75,-6.30,0.00,0,0,0,0,0.00,0.00
157,0.45,-17.55,-7.05,0.00,0,0,0,0,0.00,0.00
207,1.82,-17.55,-6.30,0.00,0,0,0,0,0.00,0.00
257,0.26,-16.80,-5.55,0.00,0,0,0,0,0.00,0.00
307,2.15,-16.20,-6.75,0.00,0,0,0,0,0.00,0.00
357,-0.85,-16.80,-6.00,0.00,0,0,0,0,0.00,0.00
407,0.92,-15.60,-6.15,0.00,0,0,0,0,0.00,0.00
457,-0.32,-16.80,-6.00,0.00,0,0,0,0,0.00,0.00
507,1.07,-16.35,-5.40,0.00,0,0,0,0,0.00,0.00
557,-0.07,-17.10,-7.95,0.00,0,0,0,0,0.00,0.00
607,1.23,-16.35,-5.85,0.00,0,0,0,0,0.00,0.00
657,-1.99,-16.50,-5.55,0.00,0,0,0,0,0.00,0.00
707,1.79,-16.65,-6.15,0.00,0,0,0,0,0.00,0.00
757,-2.24,-16.35,-5.85,0.00,0,0,0,0,0.00,0.00
807,3.15,-16.50,-6.30,0.00,0,0,0,0,0.00,0.00
857,-1.34,-16.50,-6.00,0.00,0,0,0,0,0.00,0.00
907,-0.95,-16.80,-6.75,0.00,0,0,0,0,0.00,0.00
957,2.53,-16.20,-6.00,0.00,0,0,0,0,0.00,0.00
1007,1.84,-16.35,-6.45,0.00,0,0,0,0,0.00,0.00
1057,-0.11,-15.75,-6.75,0.00,0,0,0,0,0.00,0.00
1107,-1.51,-17.70,-5.85,0.00,0,0,0,0,0.00,0.00
1157,2.15,-16.65,-5.85,0.00,0,0,0,0,0.00,0.00
1207,1.91,-17.10,-5.10,0.00,0,0,0,0,0.00,0.00
1257,-0.43,-16.80,-7.35,0.00,0,0,0,0,0.00,0.00
1307,-0.16,-16.80,-6.00,0.00,0,0,0,0,0.00,0.00
1357,1.66,-17.40,-5.40,0.00,0,0,0,0,0.00,0.00
