mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
1,-0.03,-16.65,-6.15,0.00,0,0,0,0,0.00,0.00
59,-1.44,-15.60,-6.15,0.00,0,0,0,0,0.00,0.00
109,-0.33,-17.10,-5.85,0.00,0,0,0,0,0.00,0.00
159,-0.13,-16.20,-7.05,0.00,0,0,0,0,0.00,0.00
209,-1.08,-16.80,-6.30,0.00,0,0,0,0,0.00,0.00
259,-1.40,-16.65,-7.95,0.00,0,0,0,0,0.00,0.00
309,-2.15,-16.80,-6.75,0.00,0,0,0,0,0.00,0.00
359,-0.82,-17.10,-5.40,0.00,0,0,0,0,0.00,0.00
409,2.37,-16.50,-7.35,0.00,0,0,0,0,0.00,0.00
459,0.73,-15.90,-7.20,0.00,0,0,0,0,0.00,0.00
509,1.89,-15.75,-6.75,0.00,0,0,0,0,0.00,0.00
559,0.79,-16.80,-6.75,0.00,0,0,0,0,0.00,0.00
609,-1.21,-16.20,-6.75,0.00,0,0,0,0,0.00,0.00
659,3.43,-17.85,-5.25,0.00,0,0,0,0,0.00,0.00
709,1.51,-16.35,-5.85,0.00,0,0,0,0,0.00,0.00
759,-1.25,-15.00,-7.05,0.00,0,0,0,0,0.00,0.00
809,0.81,-16.50,-7.05,0.00,0,0,0,0,0.00,0.00
859,0.63,-16.35,-5.85,0.00,0,0,0,0,0.00,0.00
909,1.65,-16.80,-6.00,0.00,0,0,0,0,0.00,0.00
959,-0.27,-15.75,-5.55,0.00,0,0,0,0,0.00,0.00
1009,1.44,-16.80,-7.05,0.00,0,0,0,0,0.00,0.00
1059,4.50,-17.10,-7.65,0.00,0,0,0,0,0.00,0.00
1109,0.60,-17.70,-5.10,0.00,0,0,0,0,0.00,0.00
1159,1.32,-16.50,-5.55,0.00,0,0,0,0,0.00,0.00
1209,1.07,-15.60,-6.15,0.00,0,0,0,0,0.00,0.00
1259,2.21,-16.20,-5.55,0.00,0,0,0,0,0.00,0.00
1309,-0.27,-16.50,-5.55,0.00,0,0,0,0,0.00,0.00
1359,0.48,-16.65,-7.65,0.00,0,0,0,0,0.00,0.00
1409,-1.16,-16.35,-4.65,0.00,0,0,0,0,0.00,0.00
1459,3.34,-16.80,-4.50,0.00,0,0,0,0,0.00,0.00
1509,0.08,-15.90,-5.40,0.00,0,0,0,0,0.00,0.00
1559,-0.99,-16.50,-6.75,0.00,0,0,0,0,0.00,0.00
1609,-0.47,-16.20,-5.55,0.00,0,0,0,0,0.00,0.00
1659,-2.14,-17.85,-5.55,0.00,0,0,0,0,0.00,0.00
1709,0.36,-16.35,-6.45,0.00,0,0,0,0,0.00,0.00
1759,3.59,-17.10,-6.45,0.00,0,0,0,0,0.00,0.00
1809,1.73,-16.80,-5.25,0.00,0,0,0,0,0.00,0.00
1859,-1.77,-16.35,-7.65,0.00,0,0,0,0,0.00,0.00
1909,0.44,-17.10,-6.90,0.00,0,0,0,0,0.00,0.00
1959,1.05,-15.90,-6.90,0.00,0,0,0,0,0.00,0.00
2009,0.80,-17.85,-6.30,0.00,0,0,0,0,0.00,0.00
2059,0.94,-17.40,-6.45,0.00,0,0,0,0,0.00,0.00
2109,2.85,-16.50,-7.05,0.00,0,0,0,0,0.00,0.00
2159,0.44,-17.10,-5.85,0.00,0,0,0,0,0.00,0.00
2209,4.06,-16.35,-5.85,0.00,0,0,0,0,0.00,0.00
2259,-0.73,-15.75,-6.00,0.00,0,0,0,0,0.00,0.00
2309,3.23,-17.10,-6.90,0.00,0,0,0,0,0.00,0.00
2359,-1.20,-15.90,-6.90,0.00,0,0,0,0,0.00,0.00
2409,1.15,-15.75,-6.00,0.00,0,0,0,0,0.00,0.00
2459,-0.98,-15.90,-5.85,0.00,0,0,0,0,0.00,0.00
2509,0.40,-15.75,-7.35,0.00,0,0,0,0,0.00,0.00
2559,0.89,-15.60,-6.45,0.00,0,0,0,0,0.00,0.00
2609,-3.37,-16.50,-6.30,0.00,0,0,0,0,0.00,0.00
2659,0.72,-15.90,-5.40,0.00,0,0,0,0,0.00,0.00
2709,-0.08,-16.65,-5.85,0.00,0,0,0,0,0.00,0.00
2759,3.60,-16.80,-4.50,0.00,0,0,0,0,0.00,0.00
2809,2.56,-17.70,-4.65,0.00,0,0,0,0,0.00,0.00
2859,1.65,-16.50,-6.00,0.00,0,0,0,0,0.00,0.00
2909,-0.90,-16.65,-6.45,0.00,0,0,0,0,0.00,0.00
2959,1.83,-17.10,-6.15,0.00,0,0,0,0,0.00,0.00
3009,-0.47,-16.35,-6.45,0.00,0,0,0,0,0.00,0.00
3059,0.04,-18.30,-6.75,0.00,0,0,0,0,-416.67,-30.00
3109,-1.18,-16.80,-4.80,0.00,0,0,0,0,-416.67,-72.00
3159,1.89,-17.40,-4.35,0.00,0,0,0,0,-416.67,-108.00
3209,0.92,-17.55,-6.30,0.00,0,0,0,0,-416.67,-144.00
3259,1.50,-16.20,-6.00,0.00,0,0,0,0,-416.67,-174.00
3309,0.64,-16.35,-6.15,0.00,0,0,0,0,-416.67,-198.00
3359,0.80,-15.90,-6.15,0.00,0,0,0,0,-416.67,-222.00
3409,2.74,-16.35,-6.90,0.00,0,0,0,0,-416.67,-246.00
3459,0.21,-16.35,-6.15,0.00,0,0,0,0,-416.67,-264.00
3509,1.27,-16.50,-6.00,0.00,0,0,0,0,-416.67,-276.00
3559,0.32,-15.75,-4.50,0.00,0,0,0,0,-416.67,-294.00
3609,0.79,-17.55,-6.00,0.00,0,0,0,0,-416.67,-306.00
3659,-2.31,-15.60,-5.85,0.00,0,0,0,0,-416.67,-324.00
3709,-0.10,-16.35,-6.90,0.00,0,0,0,0,-416.67,-330.00
3759,-0.10,-17.55,-6.30,0.00,0,0,0,0,-416.67,-336.00
3809,1.18,-16.80,-6.00,0.00,0,0,0,0,-416.67,-342.00
