mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
1,3.31,-18.45,-6.45,0.00,0,0,0,0,-250.00,0.00
51,0.34,-17.55,-6.30,0.00,0,0,0,0,-250.00,-24.00
101,-0.15,-17.70,-5.10,0.00,0,0,0,0,-250.00,-48.00
151,1.12,-16.65,-6.45,0.00,0,0,0,0,-250.00,-72.00
201,-1.42,-17.10,-6.90,0.00,0,0,0,0,-250.00,-96.00
251,0.69,-17.85,-6.30,0.00,0,0,0,0,-250.00,-114.00
301,0.59,-18.15,-7.20,0.00,0,0,0,0,-250.00,-126.00
351,0.78,-17.40,-5.85,0.00,0,0,0,0,-250.00,-144.00
401,-0.69,-16.65,-5.85,0.00,0,0,0,0,-250.00,-150.00
451,2.55,-17.10,-6.45,0.00,0,0,0,0,-250.00,-168.00
501,1.56,-16.80,-6.75,0.00,0,0,0,0,-250.00,-174.00
551,-1.63,-17.10,-7.20,0.00,0,0,0,0,-250.00,-186.00
601,-1.11,-16.20,-6.00,0.00,0,0,0,0,-250.00,-186.00
651,0.47,-16.50,-4.50,0.00,0,0,0,0,-250.00,-198.00
701,-0.30,-17.55,-6.00,0.00,0,0,0,0,-250.00,-198.00
751,1.34,-15.90,-4.35,0.00,0,0,0,0,-250.00,-204.00
801,-0.31,-17.25,-6.00,0.00,0,0,0,0,-250.00,-210.00
851,1.20,-16.50,-6.00,0.00,0,0,0,0,-250.00,-216.00
901,0.83,-18.15,-5.85,0.00,0,0,0,0,-250.00,-216.00
951,2.35,-16.80,-6.30,0.00,0,0,0,0,-250.00,-222.00
1001,0.76,-17.10,-5.40,0.00,0,0,0,0,-250.00,-216.00
1051,-0.86,-15.60,-5.85,0.00,0,0,0,0,-250.00,-222.00
1101,-0.92,-16.80,-4.80,0.00,0,0,0,0,-250.00,-228.00
1151,0.53,-16.20,-6.30,0.00,0,0,0,0,-250.00,-228.00
1201,1.22,-15.90,-6.90,0.00,0,0,0,0,-250.00,-228.00
1251,2.39,-16.80,-6.75,0.00,0,0,0,0,-250.00,-234.00
1301,-0.20,-17.10,-6.45,0.00,0,0,0,0,-250.00,-234.00
1351,2.80,-15.90,-6.45,0.00,0,0,0,0,-250.00,-234.00
1401,1.33,-15.90,-5.10,0.00,0,0,0,0,-250.00,-234.00
1451,0.60,-18.30,-4.80,0.00,0,0,0,0,-250.00,-234.00
1501,-0.55,-17.55,-6.00,0.00,0,0,0,0,-250.00,-240.00
1551,0.61,-16.50,-6.30,0.00,0,0,0,0,-250.00,-240.00
1601,-1.41,-17.25,-5.25,0.00,0,0,0,0,-250.00,-240.00
1651,-1.16,-17.40,-6.45,0.00,0,0,0,0,-250.00,-234.00
1701,-2.18,-16.50,-5.55,0.00,0,0,0,0,-250.00,-240.00
1751,-0.61,-16.80,-6.30,0.00,0,0,0,0,-250.00,-240.00
1801,1.28,-17.25,-5.25,0.00,0,0,0,0,-250.00,-240.00
1851,3.81,-16.65,-6.15,0.00,0,0,0,0,-250.00,-240.00
1901,-0.02,-15.90,-7.20,0.00,0,0,0,0,-250.00,-234.00
1951,3.43,-15.45,-6.00,0.00,0,0,0,0,-250.00,-240.00
2001,1.10,-16.20,-6.30,0.00,0,0,0,0,-250.00,-240.00
2051,-0.37,-16.65,-6.15,0.00,0,0,0,0,-250.00,-240.00
2101,2.62,-17.55,-5.55,0.00,0,0,0,0,-250.00,-240.00
2151,0.11,-18.15,-5.40,0.00,0,0,0,0,-250.00,-240.00
2201,0.76,-15.45,-6.30,0.00,0,0,0,0,-250.00,-240.00
2251,3.05,-16.65,-6.90,0.00,0,0,0,0,-250.00,-240.00
2301,2.03,-16.80,-6.75,0.00,0,0,0,0,-250.00,-240.00
2351,-0.29,-16.65,-5.85,0.00,0,0,0,0,-250.00,-240.00
2401,1.91,-17.10,-6.15,0.00,0,0,0,0,-250.00,-240.00
2451,1.53,-15.90,-6.90,0.00,0,0,0,0,-250.00,-240.00
2501,1.06,-16.65,-7.65,0.00,0,0,0,0,-250.00,-240.00
2551,-0.31,-17.10,-6.90,0.00,0,0,0,0,-250.00,-240.00
2601,-1.37,-16.80,-6.30,0.00,0,0,0,0,-250.00,-240.00
2651,3.12,-16.20,-6.00,0.00,0,0,0,0,-250.00,-240.00
2701,-1.10,-16.80,-6.00,0.00,0,0,0,0,-250.00,-234.00
2751,1.80,-17.55,-5.25,0.00,0,0,0,0,-250.00,-240.00
2801,1.43,-16.65,-5.85,0.00,0,0,0,0,-250.00,-240.00
2851,2.73,-15.45,-5.25,0.00,0,0,0,0,-250.00,-240.00
2901,2.45,-17.10,-5.10,0.00,0,0,0,0,-250.00,-240.00
2951,0.57,-16.35,-6.45,0.00,0,0,0,0,-250.00,-240.00
3001,-0.61,-17.10,-5.40,0.00,0,0,0,0,-250.00,-240.00
3051,1.56,-15.75,-6.30,0.00,0,0,0,0,-250.00,-240.00
3101,0.49,-17.55,-6.00,0.00,0,0,0,0,-250.00,-240.00
3151,-0.02,-16.65,-6.45,0.00,0,0,0,0,-250.00,-240.00
3201,0.29,-16.80,-5.25,0.00,0,0,0,0,-250.00,-240.00
3251,0.05,-16.65,-5.40,0.00,0,0,0,0,-250.00,-240.00
3301,0.14,-17.85,-6.30,0.00,0,0,0,0,-250.00,-240.00
3351,-1.74,-18.15,-6.90,0.00,0,0,0,0,-250.00,-240.00
3401,-0.56,-15.75,-7.05,0.00,0,0,0,0,-250.00,-240.00
3451,0.61,-16.80,-5.25,0.00,0,0,0,0,-250.00,-240.00
3501,2.15,-15.75,-6.30,0.00,0,0,0,0,-250.00,-240.00
3551,-0.70,-15.60,-6.15,0.00,0,0,0,0,-250.00,-240.00
3601,-1.40,-17.40,-6.15,0.00,0,0,0,0,-250.00,-240.00
3651,0.06,-16.50,-6.00,0.00,0,0,0,0,-250.00,-240.00
3701,0.77,-15.30,-6.15,0.00,0,0,0,0,-250.00,-240.00
3751,-0.11,-17.40,-5.85,0.00,0,0,0,0,-250.00,-240.00
3801,1.37,-15.90,-5.40,0.00,0,0,0,0,-250.00,-240.00
3851,1.40,-16.50,-6.00,0.00,0,0,0,0,-250.00,-240.00
3901,1.53,-17.25,-5.25,0.00,0,0,0,0,-250.00,-240.00
3951,1.49,-17.10,-6.90,0.00,0,0,0,0,-250.00,-240.00
4001,-1.98,-16.20,-5.55,0.00,0,0,0,0,-250.00,-234.00
4051,1.37,-16.35,-6.15,0.00,0,0,0,0,-250.00,-246.00
4101,-0.84,-17.40,-6.15,0.00,0,0,0,0,-250.00,-240.00
4151,-0.06,-18.15,-5.85,0.00,0,0,0,0,-250.00,-240.00
4201,2.58,-17.10,-6.45,0.00,0,0,0,0,-250.00,-240.00
4251,0.55,-16.50,-5.55,0.00,0,0,0,0,-250.00,-240.00
4301,1.55,-16.50,-6.30,0.00,0,0,0,0,-250.00,-240.00
4351,0.80,-16.80,-6.00,0.00,0,0,0,0,-250.00,-240.00
4401,-0.48,-16.50,-6.00,0.00,0,0,0,0,-250.00,-240.00
4451,1.23,-17.10,-5.40,0.00,0,0,0,0,-250.00,-240.00
4501,0.84,-17.10,-5.10,0.00,0,0,0,0,-250.00,-240.00
4551,0.68,-16.80,-6.75,0.00,0,0,0,0,-250.00,-240.00
4601,-0.23,-17.55,-6.30,0.00,0,0,0,0,-250.00,-240.00
4651,3.91,-16.35,-6.15,0.00,0,0,0,0,-250.00,-240.00
4701,1.08,-16.65,-5.85,0.00,0,0,0,0,-250.00,-240.00
4751,3.50,-17.10,-7.20,0.00,0,0,0,0,-250.00,-240.00
4801,1.53,-16.35,-6.15,0.00,0,0,0,0,-250.00,-240.00
4851,1.43,-16.65,-5.40,0.00,0,0,0,0,-250.00,-234.00
4901,-2.55,-15.90,-6.15,0.00,0,0,0,0,-250.00,-240.00
4951,3.76,-16.20,-6.30,0.00,0,0,0,0,-250.00,-240.00
5001,1.80,-17.85,-6.30,0.00,0,0,0,0,-250.00,-240.00
5051,2.12,-15.90,-6.15,0.00,0,0,0,0,-250.00,-240.00
5101,0.86,-17.40,-5.40,0.00,0,0,0,0,-250.00,-234.00
5151,-0.15,-16.20,-4.80,0.00,0,0,0,0,-250.00,-240.00
5201,0.72,-17.10,-6.90,0.00,0,0,0,0,-250.00,-240.00
5251,-0.40,-16.35,-6.45,0.00,0,0,0,0,-250.00,-240.00
5301,0.63,-16.50,-7.05,0.00,0,0,0,0,-250.00,-240.00
5351,-2.51,-16.50,-6.00,0.00,0,0,0,0,-250.00,-234.00
5401,0.16,-16.35,-6.90,0.00,0,0,0,0,-250.00,-240.00
5451,-1.46,-17.40,-5.10,0.00,0,0,0,0,-250.00,-240.00
5501,2.07,-17.55,-6.00,0.00,0,0,0,0,-250.00,-240.00
5551,0.83,-16.65,-5.10,0.00,0,0,0,0,-250.00,-240.00
5601,-0.86,-16.65,-6.15,0.00,0,0,0,0,-250.00,-234.00
5651,-2.61,-17.10,-6.90,0.00,0,0,0,0,-250.00,-246.00
5701,0.04,-17.40,-6.45,0.00,0,0,0,0,-250.00,-240.00
5751,1.53,-17.40,-5.85,0.00,0,0,0,0,-250.00,-240.00
5801,-0.08,-17.55,-6.75,0.00,0,0,0,0,-250.00,-240.00
5851,1.04,-16.35,-6.45,0.00,0,0,0,0,-250.00,-240.00
