mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count)
55437,0.24,-8.55,3.60,359.90,1099,0,1,2
55537,1.19,-8.85,5.10,359.90,1099,0,1,2
55642,0.53,-9.75,4.50,359.90,1099,0,1,2
55756,0.48,-9.60,4.35,359.90,1099,0,1,2
55870,0.78,-10.05,3.75,359.90,1099,0,1,2
55984,0.36,-10.05,3.75,359.90,1099,0,1,2
56099,0.12,-9.00,5.25,359.90,1098,0,1,2
56212,0.90,-9.00,2.25,359.90,1099,0,1,2
56326,1.63,-8.85,3.90,359.90,1098,0,1,2
56439,1.11,-10.65,4.65,359.90,1099,0,1,2
56554,-0.21,-9.15,2.55,359.84,1099,0,1,3
56669,0.11,-9.75,3.45,359.90,1099,0,1,2
56782,0.28,-9.30,4.20,359.90,1098,0,1,2
56896,2.96,-9.15,2.85,359.84,1098,0,1,3
57009,2.25,-7.95,4.20,359.84,1099,0,1,3
57123,4.90,-7.95,3.45,359.90,1099,0,1,2
57236,2.67,-8.55,2.55,359.84,1099,0,1,3
57350,0.02,-9.00,3.00,359.90,1099,0,1,2
57463,2.02,-9.15,3.90,359.84,1099,0,1,3
57577,-1.97,-9.75,5.25,359.84,1099,0,1,3
57691,10.69,-7.35,3.15,359.84,1099,0,1,3
57806,21.93,-7.95,4.20,359.84,1099,0,1,3
57921,32.52,-7.65,3.00,359.84,1098,0,1,3
58035,40.99,-5.70,3.15,359.90,1099,0,1,2
58150,46.64,-5.40,3.45,359.90,1098,1,1,3
58264,42.88,-4.05,2.25,359.90,1099,1,2,3
58379,41.56,-4.35,2.70,359.95,1099,2,2,3
58494,41.49,-2.85,1.80,0.16,1099,5,2,2
58606,45.14,-0.30,-0.30,0.26,1099,8,2,3
58720,42.69,0.15,-0.15,0.42,1099,11,2,3
58833,42.31,0.75,0.15,0.57,1099,13,2,2
58946,42.98,1.35,-1.80,0.68,1099,15,2,2
59059,42.04,2.55,-4.50,0.73,1098,16,1,2
59173,43.05,3.15,-4.65,0.83,1099,18,1,2
59286,44.73,3.30,-6.00,0.89,1099,19,1,2
59400,44.08,3.00,-7.05,1.04,1099,21,1,1
59513,43.15,4.20,-6.45,0.99,1099,20,1,1
59627,41.75,4.05,-8.55,0.94,1099,19,1,1
