mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
4104,-0.20,-19.65,-7.80,0.00,0,0,0,0,-416.67,-366.00
4154,-1.34,-17.70,-9.00,0.00,0,0,0,0,-416.67,-372.00
4204,-1.54,-19.05,-7.35,0.00,0,0,0,0,-416.67,-378.00
4254,1.93,-18.30,-7.35,0.00,0,0,0,0,-416.67,-378.00
4304,-0.66,-18.75,-7.20,0.00,0,0,0,0,-416.67,-384.00
4354,1.22,-18.15,-9.00,0.00,0,0,0,0,-416.67,-384.00
4404,-1.15,-19.35,-7.80,0.00,0,0,0,0,-416.67,-390.00
4454,1.73,-18.60,-7.35,0.00,0,0,0,0,-416.67,-390.00
4504,-2.82,-18.75,-8.40,0.00,0,0,0,0,-416.67,-396.00
4554,2.15,-18.30,-7.80,0.00,0,0,0,0,-416.67,-396.00
4604,-2.14,-17.10,-6.90,0.00,0,0,0,0,-416.67,-396.00
4654,-5.13,-18.15,-8.40,0.00,0,0,0,0,-416.67,-402.00
4704,-0.52,-19.20,-7.65,0.00,0,0,0,0,-416.67,-402.00
4754,0.07,-17.70,-7.20,0.00,0,0,0,0,-416.67,-402.00
4804,-1.84,-18.30,-8.10,0.00,0,0,0,0,-416.67,-402.00
4854,0.61,-19.20,-8.40,0.00,0,0,0,0,-416.67,-402.00
4904,2.40,-18.30,-8.10,0.00,0,0,0,0,-416.67,-402.00
4954,0.85,-18.75,-7.20,0.00,0,0,0,0,-416.67,-402.00
5004,0.87,-19.35,-8.10,0.00,0,0,0,0,-416.67,-402.00
5054,-0.17,-18.45,-6.90,0.00,0,0,0,0,-416.67,-408.00
5104,1.34,-17.85,-8.85,0.00,0,0,0,0,-416.67,-408.00
5154,1.83,-18.75,-7.20,0.00,0,0,0,0,-416.67,-402.00
5204,0.68,-17.55,-9.60,0.00,0,0,0,0,-416.67,-408.00
5254,1.36,-18.15,-8.70,0.00,0,0,0,0,-416.67,-408.00
5304,1.56,-17.55,-8.10,0.00,0,0,0,0,-416.67,-408.00
5354,-1.55,-17.85,-7.80,0.00,0,0,0,0,-416.67,-408.00
5404,2.53,-19.20,-7.20,0.00,0,0,0,0,-416.67,-414.00
5454,-1.58,-18.30,-7.35,0.00,0,0,0,0,-416.67,-408.00
5504,2.27,-18.60,-7.80,0.00,0,0,0,0,-416.67,-408.00
5554,0.92,-18.60,-7.80,0.00,0,0,0,0,-416.67,-414.00
5604,-1.95,-18.45,-8.40,0.00,0,0,0,0,-416.67,-408.00
5654,-0.97,-19.20,-9.75,0.00,0,0,0,0,-416.67,-408.00
5704,1.27,-18.60,-7.35,0.00,0,0,0,0,-416.67,-414.00
5754,0.51,-20.10,-6.75,0.00,0,0,0,0,-416.67,-408.00
5804,0.23,-17.40,-7.20,0.00,0,0,0,0,-416.67,-408.00
5854,-2.11,-19.50,-9.00,0.00,0,0,0,0,-416.67,-414.00
5904,1.15,-19.20,-7.65,0.00,0,0,0,0,-416.67,-414.00
5954,2.24,-17.55,-7.80,0.00,0,0,0,0,-416.67,-408.00
6004,2.75,-18.45,-8.70,0.00,0,0,0,0,-416.67,-408.00
6054,0.25,-19.20,-8.40,0.00,0,0,0,0,-416.67,-414.00
6104,1.38,-18.15,-8.40,0.00,0,0,0,0,-416.67,-408.00
6154,2.24,-18.75,-9.00,0.00,0,0,0,0,-416.67,-408.00
6204,0.26,-18.30,-7.80,0.00,0,0,0,0,-416.67,-414.00
6254,2.28,-18.75,-7.95,0.00,0,0,0,0,-416.67,-408.00
6304,0.81,-19.05,-7.35,0.00,0,0,0,0,-416.67,-414.00
6354,-2.96,-17.85,-8.85,0.00,0,0,0,0,-416.67,-414.00
6404,-0.95,-18.60,-6.75,0.00,0,0,0,0,-416.67,-408.00
6454,1.62,-20.40,-8.10,0.00,0,0,0,0,-416.67,-414.00
6504,1.41,-20.10,-7.35,0.00,0,0,0,0,-416.67,-414.00
6554,-1.00,-18.60,-7.35,0.00,0,0,0,0,-416.67,-414.00
6604,1.70,-18.75,-7.95,0.00,0,0,0,0,-416.67,-414.00
6654,2.96,-18.30,-7.80,0.00,0,0,0,0,-416.67,-414.00
6704,1.46,-18.60,-7.35,0.00,0,0,0,0,-416.67,-414.00
6754,1.02,-18.60,-7.35,0.00,0,0,0,0,-416.67,-414.00
6804,3.18,-19.35,-7.05,0.00,0,0,0,0,-416.67,-408.00
6854,-1.34,-18.45,-8.40,0.00,0,0,0,0,-416.67,-414.00
6904,-0.48,-19.50,-7.20,0.00,0,0,0,0,-416.67,-408.00
6954,-0.63,-17.70,-8.40,0.00,0,0,0,0,-416.67,-414.00
7004,1.23,-19.20,-7.65,0.00,0,0,0,0,-416.67,-414.00
7054,-0.95,-19.65,-7.35,0.00,0,0,0,0,-416.67,-414.00
7104,2.18,-19.65,-8.10,0.00,0,0,0,0,-416.67,-408.00
7154,0.98,-18.75,-6.90,0.00,0,0,0,0,-416.67,-414.00
7204,0.34,-18.15,-7.65,0.00,0,0,0,0,-416.67,-414.00
7254,-1.10,-17.40,-8.40,0.00,0,0,0,0,-416.67,-414.00
7304,0.86,-19.20,-7.20,0.00,0,0,0,0,-416.67,-408.00
7354,-0.40,-19.65,-7.80,0.00,0,0,0,0,-416.67,-414.00
7404,1.63,-18.75,-8.40,0.00,0,0,0,0,-416.67,-414.00
7454,2.41,-19.05,-8.55,0.00,0,0,0,0,-416.67,-414.00
7504,0.50,-19.20,-7.95,0.00,0,0,0,0,-416.67,-408.00
