mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count),w_RW_cmd(RPM),w_RW_meas(RPM)
3903,4.18,-24.75,-5.55,0.00,0,0,0,0,-250.00,-240.00
3953,-0.52,-22.35,-6.45,0.00,0,0,0,0,-250.00,-234.00
4003,2.03,-23.10,-5.55,0.00,0,0,0,0,-250.00,-240.00
4053,-2.40,-21.30,-6.45,0.00,0,0,0,0,-250.00,-240.00
4103,-1.84,-23.10,-5.85,0.00,0,0,0,0,-250.00,-240.00
4153,-0.50,-24.45,-5.40,0.00,0,0,0,0,-250.00,-240.00
4203,-0.74,-22.95,-6.00,0.00,0,0,0,0,-250.00,-240.00
4253,-1.56,-21.90,-6.75,0.00,0,0,0,0,-250.00,-240.00
4303,-0.63,-22.80,-6.90,0.00,0,0,0,0,-250.00,-240.00
4353,3.29,-21.15,-6.00,0.00,0,0,0,0,-250.00,-240.00
4403,0.86,-21.60,-5.85,0.00,0,0,0,0,-250.00,-240.00
4453,3.19,-22.20,-4.50,0.00,0,0,0,0,-250.00,-240.00
4503,-1.85,-22.05,-6.15,0.00,0,0,0,0,-250.00,-240.00
4553,0.93,-23.85,-5.85,0.00,0,0,0,0,-250.00,-246.00
4603,0.53,-22.50,-6.30,0.00,0,0,0,0,-250.00,-240.00
4653,-0.69,-22.50,-4.50,0.00,0,0,0,0,-250.00,-240.00
4703,2.17,-23.40,-6.45,0.00,0,0,0,0,-250.00,-240.00
4753,1.37,-22.95,-5.25,0.00,0,0,0,0,-250.00,-240.00
4803,1.44,-22.95,-4.80,0.00,0,0,0,0,-250.00,-240.00
4853,0.58,-21.45,-6.30,0.00,0,0,0,0,-250.00,-240.00
4903,-1.19,-22.95,-5.55,0.00,0,0,0,0,-250.00,-240.00
4953,0.49,-23.10,-5.85,0.00,0,0,0,0,-250.00,-240.00
5003,1.27,-23.10,-5.40,0.00,0,0,0,0,-250.00,-240.00
5053,-0.85,-23.10,-5.85,0.00,0,0,0,0,-250.00,-240.00
5103,0.73,-22.95,-7.05,0.00,0,0,0,0,-250.00,-240.00
5153,0.25,-22.50,-6.00,0.00,0,0,0,0,-250.00,-240.00
5203,0.99,-22.95,-6.00,0.00,0,0,0,0,-250.00,-240.00
5253,1.11,-22.05,-6.15,0.00,0,0,0,0,-250.00,-240.00
5303,0.07,-23.40,-6.45,0.00,0,0,0,0,-250.00,-240.00
5353,2.60,-23.55,-5.55,0.00,0,0,0,0,-250.00,-240.00
5403,-0.80,-23.25,-5.25,0.00,0,0,0,0,-250.00,-240.00
5453,-2.95,-23.25,-5.55,0.00,0,0,0,0,-250.00,-240.00
5503,0.18,-22.35,-5.85,0.00,0,0,0,0,-250.00,-234.00
5553,-2.25,-23.25,-5.25,0.00,0,0,0,0,-250.00,-240.00
5603,0.10,-22.20,-4.80,0.00,0,0,0,0,-250.00,-240.00
5653,0.23,-23.25,-6.00,0.00,0,0,0,0,-250.00,-240.00
5703,1.22,-23.10,-7.20,0.00,0,0,0,0,-250.00,-240.00
5753,-0.07,-22.80,-5.40,0.00,0,0,0,0,-250.00,-240.00
5803,-1.14,-23.85,-6.45,0.00,0,0,0,0,-250.00,-240.00
5853,2.43,-23.10,-6.15,0.00,0,0,0,0,-250.00,-240.00
5903,-0.44,-22.80,-6.90,0.00,0,0,0,0,-250.00,-240.00
5953,-1.62,-23.55,-6.00,0.00,0,0,0,0,-250.00,-240.00
6003,2.83,-22.05,-6.45,0.00,0,0,0,0,-250.00,-240.00
6053,1.54,-22.80,-6.45,0.00,0,0,0,0,-250.00,-240.00
6103,0.77,-21.60,-6.45,0.00,0,0,0,0,-250.00,-240.00
6153,-2.34,-22.20,-7.05,0.00,0,0,0,0,-250.00,-240.00
6203,-1.18,-21.90,-5.55,0.00,0,0,0,0,-250.00,-240.00
6253,2.02,-23.10,-6.15,0.00,0,0,0,0,-250.00,-240.00
6303,-2.76,-24.15,-6.15,0.00,0,0,0,0,-250.00,-234.00
6353,-2.18,-23.55,-5.25,0.00,0,0,0,0,-250.00,-240.00
6403,-0.64,-23.10,-6.15,0.00,0,0,0,0,-250.00,-240.00
6453,1.21,-23.25,-7.05,0.00,0,0,0,0,-250.00,-240.00
6503,3.05,-22.05,-6.45,0.00,0,0,0,0,-250.00,-240.00
6553,0.34,-22.35,-5.10,0.00,0,0,0,0,-250.00,-240.00
6603,0.39,-21.60,-5.85,0.00,0,0,0,0,-250.00,-234.00
6653,-2.08,-22.80,-5.85,0.00,0,0,0,0,-250.00,-240.00
6703,3.41,-22.80,-5.10,0.00,0,0,0,0,-250.00,-240.00
6753,-1.28,-23.55,-5.25,0.00,0,0,0,0,-250.00,-240.00
6803,1.60,-23.25,-7.05,0.00,0,0,0,0,-250.00,-234.00
6853,1.49,-22.80,-5.85,0.00,0,0,0,0,-250.00,-240.00
6903,-2.05,-23.55,-5.55,0.00,0,0,0,0,-250.00,-240.00
6953,3.04,-22.35,-5.40,0.00,0,0,0,0,-250.00,-240.00
7003,0.04,-22.35,-6.15,0.00,0,0,0,0,-250.00,-240.00
7053,0.82,-22.50,-6.30,0.00,0,0,0,0,-250.00,-240.00
7103,2.86,-22.50,-5.55,0.00,0,0,0,0,-250.00,-240.00
7153,1.58,-20.70,-5.25,0.00,0,0,0,0,-250.00,-240.00
7203,-1.09,-23.55,-5.55,0.00,0,0,0,0,-250.00,-240.00
7253,0.76,-22.80,-5.10,0.00,0,0,0,0,-250.00,-240.00
7303,2.18,-22.80,-6.15,0.00,0,0,0,0,-250.00,-240.00
7353,0.60,-22.20,-6.00,0.00,0,0,0,0,-250.00,-240.00
7403,-2.05,-21.45,-4.80,0.00,0,0,0,0,-250.00,-240.00
7453,1.01,-23.10,-7.20,0.00,0,0,0,0,-250.00,-240.00
7503,1.92,-22.20,-6.75,0.00,0,0,0,0,-250.00,-240.00
7553,0.45,-22.80,-6.15,0.00,0,0,0,0,-250.00,-234.00
7603,3.37,-22.35,-5.40,0.00,0,0,0,0,-250.00,-240.00
7653,2.21,-21.90,-6.75,0.00,0,0,0,0,-250.00,-240.00
7703,-1.10,-23.10,-5.85,0.00,0,0,0,0,-250.00,-240.00
7753,0.98,-21.60,-5.10,0.00,0,0,0,0,-250.00,-240.00
7803,0.20,-22.05,-6.45,0.00,0,0,0,0,-250.00,-240.00
7853,0.66,-22.35,-6.90,0.00,0,0,0,0,-250.00,-240.00
7903,2.91,-21.90,-7.05,0.00,0,0,0,0,-250.00,-240.00
7953,-0.14,-22.20,-5.55,0.00,0,0,0,0,-250.00,-240.00
8003,1.91,-22.05,-5.40,0.00,0,0,0,0,-250.00,-240.00
8053,-0.03,-23.10,-6.45,0.00,0,0,0,0,-250.00,-240.00
8103,-0.55,-22.95,-4.80,0.00,0,0,0,0,-250.00,-240.00
8153,-1.63,-22.20,-6.30,0.00,0,0,0,0,-250.00,-240.00
8203,-3.11,-21.60,-6.15,0.00,0,0,0,0,-250.00,-240.00
8253,2.08,-23.10,-7.20,0.00,0,0,0,0,-250.00,-240.00
8303,0.28,-22.50,-5.25,0.00,0,0,0,0,-250.00,-240.00
8353,0.79,-24.00,-6.00,0.00,0,0,0,0,-250.00,-234.00
8403,-0.36,-23.55,-6.75,0.00,0,0,0,0,-250.00,-240.00
8453,-0.89,-23.85,-6.45,0.00,0,0,0,0,-250.00,-240.00
8503,-2.14,-23.25,-6.00,0.00,0,0,0,0,-250.00,-240.00
8553,1.43,-21.45,-4.80,0.00,0,0,0,0,-250.00,-240.00
8603,1.24,-22.50,-5.55,0.00,0,0,0,0,-250.00,-240.00
8653,1.63,-22.95,-6.30,0.00,0,0,0,0,-250.00,-240.00
8703,1.06,-22.95,-5.55,0.00,0,0,0,0,-250.00,-240.00
8753,-0.22,-23.25,-6.30,0.00,0,0,0,0,-250.00,-240.00
8803,0.45,-22.20,-6.30,0.00,0,0,0,0,-250.00,-240.00
8853,1.14,-22.50,-6.75,0.00,0,0,0,0,-250.00,-240.00
8903,-1.20,-22.95,-6.30,0.00,0,0,0,0,-250.00,-240.00
8953,-1.21,-22.20,-6.00,0.00,0,0,0,0,-250.00,-240.00
9003,-0.67,-22.80,-5.10,0.00,0,0,0,0,-250.00,-240.00
9053,0.92,-22.50,-5.25,0.00,0,0,0,0,-250.00,-240.00
9103,2.18,-22.80,-6.15,0.00,0,0,0,0,-250.00,-240.00
9153,-1.68,-22.80,-6.15,0.00,0,0,0,0,-250.00,-234.00
9203,-1.59,-22.35,-6.15,0.00,0,0,0,0,-250.00,-240.00
9253,-0.57,-22.95,-4.80,0.00,0,0,0,0,-250.00,-240.00
9303,3.54,-21.45,-6.75,0.00,0,0,0,0,-250.00,-240.00
9353,2.53,-22.20,-6.00,0.00,0,0,0,0,-250.00,-240.00
9403,1.67,-22.80,-6.90,0.00,0,0,0,0,-250.00,-234.00
9453,3.10,-22.80,-5.85,0.00,0,0,0,0,-250.00,-240.00
