mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count)
30053,9.47,-0.60,29.40,4.11,227,122,88,112
30153,5.79,0.15,28.50,3.27,229,120,89,112
30266,5.34,-1.50,29.85,4.25,235,119,87,108
30383,7.64,0.60,28.95,4.31,234,119,88,108
30498,3.64,1.05,27.90,3.97,234,119,90,109
30614,8.11,1.20,28.05,3.20,234,118,91,110
30729,7.88,0.15,27.75,2.37,237,117,92,111
30845,7.95,1.05,27.15,1.54,242,116,93,112
30961,2.65,0.45,29.85,0.37,248,114,93,113
31076,5.50,1.50,28.05,0.00,255,111,92,111
31192,2.92,1.05,28.20,0.34,259,111,92,110
31308,9.56,0.30,26.70,1.39,258,113,93,109
31423,2.66,0.75,25.50,0.71,256,112,94,110
31539,4.60,2.40,28.20,1.08,254,113,95,110
31654,-1.02,2.10,27.45,0.74,251,113,97,111
31771,6.73,0.45,27.30,0.37,250,113,97,112
31887,5.59,1.35,27.15,359.62,248,112,98,113
32004,1.15,0.30,27.90,359.62,247,111,98,112
32122,10.38,0.60,27.45,0.40,243,111,98,110
32239,12.67,2.55,28.05,0.00,235,110,98,110
32356,22.33,3.00,27.30,0.48,220,109,100,108
32473,59.44,2.85,26.40,357.34,188,107,102,111
32593,108.03,3.75,24.75,135.00,113,114,115,112
32714,114.73,4.35,20.25,108.43,102,229,146,97
32834,115.95,7.50,16.35,108.04,101,302,172,84
32953,114.48,5.25,13.35,117.59,109,233,190,78
33073,116.01,4.05,10.20,137.37,114,141,177,83
33193,116.92,2.10,7.80,186.52,113,92,148,96
33311,113.19,1.05,5.10,193.45,113,88,159,99
33428,115.17,-2.40,3.90,194.04,108,90,188,110
33548,117.60,-4.65,2.85,203.86,95,95,199,141
33667,114.96,-7.65,0.45,210.01,78,104,194,171
33787,118.45,-11.40,2.55,262.78,73,114,82,185
33907,111.91,-13.80,2.40,218.77,78,114,144,167
34027,117.80,-16.35,2.85,230.19,90,115,120,151
34148,118.26,-19.95,7.05,281.77,101,103,96,127
34269,113.05,-20.40,9.30,285.17,105,87,89,146
34389,114.44,-22.65,12.00,279.07,111,73,96,167
34510,119.71,-24.60,16.65,276.06,116,73,104,186
34632,115.05,-22.35,21.30,274.62,112,85,104,184
34753,116.50,-19.35,25.20,262.87,103,108,110,164
34876,115.23,-17.10,27.90,232.70,91,117,107,138
34998,116.21,-13.95,31.65,116.57,89,115,94,105
35119,112.16,-11.10,31.95,44.24,121,128,83,91
35239,117.82,-6.45,31.65,18.60,180,132,73,96
35358,113.29,-5.25,30.15,9.78,220,131,75,106
35476,113.18,1.65,29.40,2.00,231,116,88,111
35594,113.15,1.65,27.90,355.96,185,107,100,113
35715,110.40,4.35,23.55,0.00,113,111,110,111
35834,113.05,5.70,20.85,115.29,99,194,142,103
35953,114.59,5.70,17.85,108.85,104,292,175,84
36073,116.93,6.00,14.40,112.93,105,312,204,78
36193,114.53,5.25,11.85,120.35,113,235,202,83
36313,112.05,4.65,8.55,130.60,115,154,169,91
36432,116.27,2.10,5.10,187.85,109,97,138,101
36550,107.54,-0.15,5.40,198.43,106,91,163,110
36670,114.21,-2.40,1.80,204.74,96,96,198,143
36789,116.07,-6.45,0.30,208.49,80,103,209,173
36909,116.31,-9.60,0.00,213.01,73,111,190,187
37028,115.71,-13.05,1.65,215.94,76,115,156,173
37149,113.54,-16.20,4.20,254.05,83,115,93,150
37269,118.18,-19.50,6.75,270.00,98,112,98,126
37389,111.37,-20.55,9.75,290.85,100,95,84,137
37509,114.79,-21.75,12.60,274.24,100,80,94,161
37629,112.89,-21.60,15.45,273.12,105,71,99,181
37750,112.39,-20.85,19.05,269.46,106,79,107,185
37872,111.05,-19.50,24.75,262.41,97,94,107,169
