mcu time(ms),gyro_Z(deg/s),mag_X(uT),mag_Y(uT),sun_direction(deg),sun_plusX(count),sun_plusY(count),sun_minusX(count),sun_minusY(count)
37993,117.81,-18.15,26.70,244.13,93,115,109,148
38115,114.20,-15.15,28.50,214.51,85,114,101,125
38237,114.63,-11.25,29.85,74.36,95,124,88,99
38356,112.69,-9.30,31.20,34.55,138,136,77,94
38474,112.10,-5.10,30.60,18.72,197,144,76,103
38594,113.71,-2.10,31.65,10.62,257,138,81,105
38714,112.86,-1.20,27.30,1.21,282,116,93,112
38833,113.27,2.55,27.00,0.44,238,113,107,112
38951,114.40,5.55,24.00,45.00,140,119,128,107
39071,116.33,5.85,20.25,121.45,103,198,166,95
39191,112.66,6.45,17.85,113.48,104,325,210,81
39311,114.66,6.00,14.40,112.48,111,309,207,77
39431,114.68,4.65,10.35,124.30,111,194,184,87
39550,113.43,3.30,7.50,158.88,115,114,159,97
39669,110.17,1.50,4.20,202.48,113,88,142,100
39788,111.23,-2.40,2.85,197.56,105,88,184,113
39908,110.73,-6.15,0.90,203.77,94,99,203,147
40026,109.79,-7.50,1.80,205.05,82,107,189,157
40146,117.18,-11.10,2.10,264.56,72,110,78,173
40266,116.40,-13.05,2.70,214.14,77,117,136,157
40387,113.62,-18.15,5.85,215.54,86,113,107,128
40508,118.12,-19.35,6.60,280.78,96,109,92,130
40627,113.23,-21.30,10.20,284.57,100,90,87,140
40748,111.41,-21.30,13.20,275.36,106,75,97,171
40869,116.40,-22.95,17.10,276.45,113,71,100,186
40991,112.60,-20.25,20.55,274.76,116,86,107,194
41113,109.92,-20.70,24.15,268.03,105,102,108,189
41236,112.98,-17.85,26.40,263.77,97,114,103,169
41358,113.37,-15.15,29.85,262.87,94,121,97,145
41478,108.16,-11.40,32.40,63.43,95,134,84,112
41598,116.35,-7.50,32.70,40.91,135,149,75,97
41717,112.24,-5.55,31.80,19.21,207,147,75,101
41837,113.08,-3.45,30.15,5.77,261,128,83,110
41956,109.45,1.50,27.00,358.88,252,110,98,113
42075,110.79,4.20,25.65,356.93,162,108,106,111
42196,110.53,4.05,22.05,121.29,98,158,129,107
42316,116.79,6.75,17.85,107.69,103,275,162,90
42436,110.02,5.55,14.70,108.82,103,304,179,81
42556,108.47,4.80,12.00,120.05,109,220,190,80
42675,107.68,3.15,9.60,133.36,116,140,167,86
42794,109.73,1.95,6.00,194.04,113,90,141,97
42912,110.11,0.30,4.05,197.02,111,87,160,102
43031,112.05,-1.65,3.60,194.74,104,91,199,116
43150,111.85,-6.60,1.65,204.05,92,97,213,151
43269,106.79,-8.55,0.00,207.78,77,105,208,174
43389,111.14,-10.50,0.90,215.44,72,112,183,191
43510,111.38,-13.95,1.05,216.16,78,113,156,170
43631,107.25,-16.80,2.85,300.14,90,116,72,147
43750,111.10,-20.25,6.45,261.87,101,105,104,126
43872,109.79,-22.05,9.45,291.60,106,91,87,139
43992,109.79,-20.85,13.50,278.50,108,74,95,161
44113,109.31,-23.25,17.85,274.59,113,72,104,184
44235,106.30,-22.50,19.35,274.32,112,80,104,186
44357,107.29,-19.50,24.00,265.24,104,101,110,173
44479,108.45,-18.15,27.90,242.10,91,115,109,149
44601,106.36,-14.25,29.70,195.95,85,114,99,118
44722,108.01,-13.20,30.45,69.86,100,124,89,94
44842,112.38,-8.70,33.30,22.93,154,128,76,95
44961,107.55,-5.55,29.85,11.98,206,129,74,101
45081,106.41,-2.10,30.45,7.39,244,128,82,107
45199,31.05,0.45,27.75,1.81,245,112,87,107
45316,-19.21,0.75,28.05,3.01,238,116,86,108
45434,-20.66,0.45,29.25,3.67,240,118,84,108
45551,-26.24,-1.20,30.30,3.96,243,119,84,108
45670,-37.11,-0.60,29.70,7.57,240,130,82,109
45789,-18.57,-3.15,31.95,11.87,235,137,78,104
45909,-10.60,-1.95,31.05,10.97,236,133,76,102
46028,-10.02,-3.45,31.65,12.84,236,140,78,104
46148,7.89,-4.35,31.35,12.64,241,138,76,101
46266,5.42,-4.05,31.35,11.18,247,135,75,101
46384,13.39,-3.00,31.35,10.10,249,134,75,103
46502,13.21,-3.90,30.90,9.04,255,135,79,107
46620,6.44,-2.40,30.90,8.55,253,135,80,109
46737,6.81,-1.50,30.60,8.70,252,135,82,109
46853,-3.89,-1.95,28.80,8.51,249,134,82,109
46971,1.79,-2.25,31.35,9.08,251,134,82,107
47088,-1.82,-2.25,29.85,9.25,253,136,81,108
47206,0.40,-2.55,30.30,9.41,255,135,80,106
47322,0.11,-2.25,30.60,10.10,254,137,80,106
47440,0.93,-1.95,28.80,10.10,253,136,79,105
47558,-0.08,-3.15,30.45,9.41,253,135,78,106
47675,-2.66,-2.25,30.60,8.72,255,135,79,108
47793,4.37,-2.25,31.80,8.77,255,136,80,109
47910,0.21,-1.50,31.05,8.08,256,134,80,109
48026,-2.06,-1.95,31.05,8.13,255,134,80,109
48144,-2.79,-3.30,30.60,8.77,255,136,80,109
48262,-3.12,-2.40,30.15,9.52,253,137,80,108
48379,-6.66,-2.25,31.05,10.28,250,137,79,106
48498,-1.09,-2.55,31.80,10.07,246,135,77,105
48617,-0.11,-3.75,30.60,9.01,243,134,79,108
48735,-4.38,-1.65,31.20,9.29,245,136,80,109
48852,-3.56,-3.45,31.20,10.12,248,138,80,108
48971,1.63,-2.40,29.40,11.18,251,140,79,106
49089,1.71,-2.85,31.20,11.44,246,138,78,104
49207,4.71,-3.75,30.30,12.09,231,136,77,103
49324,-2.52,-2.55,31.35,11.83,225,135,77,104
49443,-3.41,-2.40,31.20,12.82,224,138,79,105
49562,1.55,-3.30,29.85,14.13,221,139,78,103
49679,-1.27,-2.10,30.45,14.80,218,138,78,101
49798,-0.40,-4.95,30.15,13.45,214,134,76,101
49917,2.24,-3.30,30.30,13.03,211,135,77,104
50035,-2.40,-2.40,30.45,13.53,211,136,78,104
50153,2.86,-3.30,29.25,14.74,211,137,78,102
50271,-3.53,-2.85,31.65,15.44,210,137,76,100
50390,-0.41,-2.85,30.90,13.43,209,133,75,101
